aaptis,"Arab, Armen, Pers, Turk& Islam"
aas,Afroamerican & African Studies
acabs,Ancient Civiliz & Biblical Stu
aero,Air Force Officer Education
aerosp,Aerospace Engineering
amcult,American Culture
anatomy,Anatomy
anthrarc,Anthropological Archaeology
anthrbio,"Anthropology,Biological"
anthrcul,"Anthropology,Cultural"
aoss,"Atmos, Oceanic & Space Sci"
appphys,Applied Physics
arabam,Arab American Studies
arabic,Arabic Studies
arch,Architecture
armenian,Armenian Studies
artdes,Art and Design
asian,Asian Studies
asianlan,Asian Languages
asianpam,Asian/Pacific Island Amer Std
astro,Astronomy
auto,Automotive Engineering Program
ba,Business Administration
bcs,Bosnian/Croatian/Serbian
be,Business Econ & Public Policy
bioinf,Bioinformatics
biolchem,Biological Chemistry
biology,Biology
biomede,Biomedical Engineering
biophys,Biophysics
biostat,Biostatistics
cee,Civil & Environmental Engin
che,Chemical Engineering
chem,Chemistry
cjs,Japanese Studies
clarch,Classical Archaeology
clciv,Classical Civilization
cmplxsys,Complex Systems
cogsci,Cognitive Science
comm,Communication Studies
comp,Composition
complit,Comparative Literature
csp,Comprehensive Studies Program
czech,Czech
dance,Dance
dutch,Dutch
earth,Earth & Environmental Sciences
econ,Economics
edcurins,Education D Curriculum & Instr
educ,Education
eeb,Ecology & Evolutionary Biology
eecs,Elec Engin & Computer Sci
ehs,Environmental Health Sciences
eli,English Language Institute
english,English Lang & Literature
engr,Engineering
ens,Ensemble
enscen,Environmental Sciences & Engin
environ,Environment
es,Entrepreneurial Studies
eseng,Energy Systems Engineering
french,French
geog,Geography
german,German
greek,Greek
gtbooks,Great Books
hebrew,Hebrew Studies
hf,Health and Fitness
histart,History of Art
history,History
hmp,Health Management And Policy
honors,College Honors
intlstd,International Studies
intmed,Internal Medicine
ioe,Industrial & Operations Engin
italian,Italian
jazz,Jazz & Improvisational Studies
judaic,Judaic Studies
kineslgy,Kinesiology
lacs,Latin Amer & Caribbean Stu
latin,Latin
latinoam,Latina/o American Studies
lhsp,Lloyd Hall Scholars Program
ling,Linguistics
macromol,Macromolecular Science
math,Mathematics
matscie,Materials Science Engineering
mcdb,"Molec, Cell & Develop Biology"
mecheng,Mechanical Engineering
medchem,Medicinal Chemistry
mems,Medieval & Early Modern Std
menas,Middle Eastern & N African Stu
mfg,Manufacturing
micrbiol,Microbiology
milsci,Military Science
mkt,Marketing
modgreek,Modern Greek
movesci,Movement Science
museums,Museums
musicol,Musicology
musmeth,Museum Methods
musthtre,Musical Theatre
nativeam,Native American Studies
navarch,Naval Arch & Marine Engin
navsci,Naval Science
neareast,Near East Studies
ners,Nuclear Engin & Radiolog Sci
neslang,Near East Studies Languages
neurosci,Neuroscience
nre,Nat Resources & Environment
nurs,Nursing
orgstudy,Organizational Studies
pat,Performing Arts & Technology
path,Pathology
persian,Persian
pharmacy,Pharmacy
phil,Philosophy
phrmacol,Pharmacology
physics,Physics
physiol,Physiology
polish,Polish
polsci,Political Science
portug,Portuguese
ppe,"Philos, Politics & Economics"
psych,Psychology
pubhlth,Public Health
pubpol,Public Policy
rcarts,RC Fine Arts
rcasl,RC American Sign Language
rccore,RC Core Courses
rchums,RC Humanities
rcidiv,RC Interdivisional
rclang,RC Languages
rcnsci,RC Natural Sciences
rcssci,RC Social Sciences
reees,"Russian, E Europe & Euras Stu"
religion,Religion
romlang,Romance Languages&Literatures
romling,Romance Linguistics
russian,Russian
sac,Screen Arts & Cultures
scand,Scandinavian
seas,Southeast Asian Studies
si,Information
slavic,Slavic
soc,Sociology
spanish,Spanish
stats,Statistics
stdabrd,Study Abroad
strategy,Strategy
sw,Social Work
tchnclcm,Technical Communication
theory,Theory
thtremus,Theatre & Drama
to,Technology & Operations
turkish,Turkish Studies
uc,University Courses
ukr,Ukrainian
up,Urban Planning
womenstd,Womens Studies
writing,Sweetland Center for Writing
yiddish,Yiddish
engin,Engineering
economics,Economics
eng,English Lang & Literature
gb,Great Books
psyc,Psychology
pysc,Psychology
psy,Psychology
ps,Political Science
phys,Physics
physi,Physics
phy,Physics
calc,Mathematics
psychology,Psychology
biopsy,Biophysics
biopsych,Biophysics
frn,French
fren,French
chm,Chemistry
bus,Business
mgt,Business
bio,Biology
hist,History
social work,Social Work
swk,Social Work
mental health,Environmental Health Sciences
anthrobio,"Anthropology,Biological"
mth,Mathematics
span,Spanish
spn,Spanish
me,Mechanical Engineering
pol,Political Science
ece,Elec Engin & Computer Sci
anthr,Anthropology
anth,Anthropology
art,Art and Design
polsc,Political Science
edu,Education
his,History
nur,Nursing
amcul,American Culture
frenc,French
geo,Geography
ws,Womens Studies
ger,German